a,b,c,d
1,0.3145534123403255,A,2020-01-01
2,2.3587543096371073,B,2020-01-02
3,-0.4372606150234502,A,2020-01-03
4,0.27060295957074293,B,2020-01-04
5,-1.1476343944832472,A,2020-01-05
6,-0.5771429886491775,B,2020-01-06
7,1.2936253245346434,A,2020-01-07
8,0.7870128372019641,B,2020-01-08
9,-0.9028259532167744,A,2020-01-09
10,0.40690929441775353,B,2020-01-10
11,-0.1073019572746101,A,2020-01-11
12,0.5745722451984445,B,2020-01-12
13,1.2605002015265043,A,2020-01-13
14,1.8884829931679543,B,2020-01-14
15,0.8245786290464939,A,2020-01-15
16,0.4930754159381025,B,2020-01-16
17,0.98813466366881475,A,2020-01-17
18,0.8601648759423389,B,2020-01-18
19,0.20208007727025667,A,2020-01-19
20,1.0432105843776303,B,2020-01-20
21,-0.9566384498132989,A,2020-01-21
22,0.5223751490266488,B,2020-01-22
23,0.5596587944513453,A,2020-01-23
24,-0.9986973520897664,B,2020-01-24
25,0.9608722601583536,A,2020-01-25
26,0.8192552153281697,B,2020-01-26
27,-0.5230903967701216,A,2020-01-27
28,0.5270560443089478,B,2020-01-28
29,0.3148183662980951,A,2020-01-29
30,-0.38503929177177043,B,2020-01-30
31,-0.016180581658153614,A,2020-01-31
32,-0.3991609051003401,B,2020-02-01
33,1.0148514394967127,A,2020-02-02
34,0.022590604993497857,B,2020-02-03
35,0.879690109654147,A,2020-02-04
36,-2.0949227769576906,B,2020-02-05
37,1.1547868883263992,A,2020-02-06
38,-0.644527938307926,B,2020-02-07
39,-2.6601612652142466,A,2020-02-08
40,1.19184343270587,B,2020-02-09
41,-0.11083668734818392,A,2020-02-10
42,0.431716702748692,B,2020-02-11
43,-0.19939230943586364,A,2020-02-12
44,-1.2210876081728854,B,2020-02-13
45,1.7386957787146524,A,2020-02-14
46,-0.15500634136907088,B,2020-02-15
47,-1.263339710893512,A,2020-02-16
48,0.9508887901838409,B,2020-02-17
49,-2.122507564976889,A,2020-02-18
50,-0.7011752836361137,B,2020-02-19
51,0.33715159408043593,A,2020-02-20
52,-0.5611211339786709,B,2020-02-21
53,0.04410434131842153,A,2020-02-22
54,-0.41285271515895766,B,2020-02-23
55,1.3343061855068212,A,2020-02-24
56,0.5984361423425336,B,2020-02-25
57,-0.18857813248375857,A,2020-02-26
58,0.2117881683710283,B,2020-02-27
59,-2.0231666014109395,A,2020-02-28
60,-2.4056752648511455,B,2020-02-29
61,-1.8331147172950737,A,2020-03-01
62,-0.9985770502523857,B,2020-03-02
63,1.528367811236162,A,2020-03-03
64,-0.4733492327232584,B,2020-03-04
65,1.4733059590596442,A,2020-03-05
66,1.8024822962354392,B,2020-03-06
67,-1.221550620429677,A,2020-03-07
68,0.1574137768247484,B,2020-03-08
69,2.200217424236535,A,2020-03-09
70,-0.4711716676836818,B,2020-03-10
71,0.23897296368690918,A,2020-03-11
72,-0.17580996824423653,B,2020-03-12
73,-1.7280240961684894,A,2020-03-13
74,-2.2214001577326044,B,2020-03-14
75,0.6514651974359986,A,2020-03-15
76,0.8446257222970268,B,2020-03-16
77,0.90084832697462,A,2020-03-17
78,1.2713633897403958,B,2020-03-18
79,0.2557604730233577,A,2020-03-19
80,2.1802024594812255,B,2020-03-20
81,2.0490250554353384,A,2020-03-21
82,0.27595514101671226,B,2020-03-22
83,-1.1742152874693539,A,2020-03-23
84,0.2672909907369096,B,2020-03-24
85,-0.5180136627656177,A,2020-03-25
86,0.9547908157154195,B,2020-03-26
87,-1.3770028154247198,A,2020-03-27
88,0.24139507991341247,B,2020-03-28
89,0.5657540685988918,A,2020-03-29
90,0.9740312658247403,B,2020-03-30
91,0.07488988547542921,A,2020-03-31
92,-1.914940370826388,B,2020-04-01
93,0.5427739561867291,A,2020-04-02
94,1.0029755794235624,B,2020-04-03
95,2.8559160638327623,A,2020-04-04
96,0.23655544005053317,B,2020-04-05
97,-1.8294537369740327,A,2020-04-06
98,0.6138826211535648,B,2020-04-07
99,-0.14688303214502346,A,2020-04-08
100,1.5174250390335111,B,2020-04-09
101,1.2955174537239642,A,2020-04-10
102,-1.246173439612339,B,2020-04-11
103,-1.1258152709867555,A,2020-04-12
104,0.8716581978199355,B,2020-04-13
105,0.0023529501944899844,A,2020-04-14
106,-2.1579951770518795,B,2020-04-15
107,0.40160835751890706,A,2020-04-16
108,2.0671543321459906,B,2020-04-17
109,2.8107453243241354,A,2020-04-18
110,-0.8440742192069828,B,2020-04-19
111,2.4865388340859194,A,2020-04-20
112,0.9321765272656931,B,2020-04-21
113,0.12634009724363213,A,2020-04-22
114,0.472142601703915,B,2020-04-23
115,-0.2927532903228888,A,2020-04-24
116,0.3409577445559877,B,2020-04-25
117,0.6051790142522043,A,2020-04-26
118,0.47137417525025477,B,2020-04-27
119,-0.42562646667993137,A,2020-04-28
120,-0.45592230064313216,B,2020-04-29
121,-0.2509173900506035,A,2020-04-30
122,-0.8134752536850327,B,2020-05-01
123,-0.9578573092086309,A,2020-05-02
124,-1.2392830111114896,B,2020-05-03
125,-1.2819037506171145,A,2020-05-04
126,0.05261494253558758,B,2020-05-05
127,-0.9664231009479456,A,2020-05-06
128,1.0588309358631909,B,2020-05-07
129,-1.233953940822597,A,2020-05-08
130,-0.4096327499616331,B,2020-05-09
131,1.051864519681141,A,2020-05-10
132,0.4352800926187653,B,2020-05-11
133,-0.1980791365025236,A,2020-05-12
134,1.4925589703943731,B,2020-05-13
135,-1.2525537307116912,A,2020-05-14
136,0.33529712352203195,B,2020-05-15
137,-0.2774482872151786,A,2020-05-16
138,-0.0392522113585091,B,2020-05-17
139,1.0208749629678158,A,2020-05-18
140,-0.3830048592103829,B,2020-05-19
141,0.7453030530594735,A,2020-05-20
142,0.6791200149992623,B,2020-05-21
143,-2.499105734093007,A,2020-05-22
144,-0.984306236488304,B,2020-05-23
145,-1.2443952745739355,A,2020-05-24
146,0.8376259643283505,B,2020-05-25
147,0.8535154860939141,A,2020-05-26
148,2.1086127818455482,B,2020-05-27
149,1.2788481804219765,A,2020-05-28
150,-0.7242134274979954,B,2020-05-29
151,1.2356817655751036,A,2020-05-30
152,-1.4933270152892626,B,2020-05-31
153,-0.596196116190509,A,2020-06-01
154,1.1871568225093934,B,2020-06-02
155,-0.04668498228910631,A,2020-06-03
156,-0.7579558461427153,B,2020-06-04
157,-0.5688978218610897,A,2020-06-05
158,-0.03280805268133693,B,2020-06-06
159,0.15022371535077159,A,2020-06-07
160,1.4464240150893186,B,2020-06-08
161,0.8096940360374756,A,2020-06-09
162,-0.32814111295150117,B,2020-06-10
163,0.5971650190707087,A,2020-06-11
164,0.854418638343254,B,2020-06-12
165,0.5041626958761097,A,2020-06-13
166,-0.1643968501064308,B,2020-06-14
167,1.3922279279796437,A,2020-06-15
168,0.7493663398301494,B,2020-06-16
169,-0.3245175223692904,A,2020-06-17
170,-0.5028626195355619,B,2020-06-18
171,-0.837797740181267,A,2020-06-19
172,-1.6746626295702542,B,2020-06-20
173,-2.361355268904791,A,2020-06-21
174,0.06583356889448762,B,2020-06-22
175,-0.4896347522829359,A,2020-06-23
176,-0.09420510401079243,B,2020-06-24
177,0.26409150489386457,A,2020-06-25
178,1.783904967928534,B,2020-06-26
179,-0.46788293809372383,A,2020-06-27
180,-0.40930823968908797,B,2020-06-28
181,-0.4332129035331142,A,2020-06-29
182,-0.14456073965156557,B,2020-06-30
183,-0.10364855642128877,A,2020-07-01
184,-1.2820326215094902,B,2020-07-02
185,-0.5800574634217105,A,2020-07-03
186,-2.022961637441504,B,2020-07-04
187,2.056485415074665,A,2020-07-05
188,-0.370789040961456,B,2020-07-06
189,0.18285123803054676,A,2020-07-07
190,0.35387744752977796,B,2020-07-08
191,-0.21712975571231383,A,2020-07-09
192,-0.43950071507013244,B,2020-07-10
193,-0.4045902060090356,A,2020-07-11
194,-0.6092248399905352,B,2020-07-12
195,-1.4203561891918435,A,2020-07-13
196,1.261493709036,B,2020-07-14
197,0.09735115070479082,A,2020-07-15
198,-0.3590079575942388,B,2020-07-16
199,-0.5910728517277736,A,2020-07-17
200,0.08182050383122673,B,2020-07-18
201,-1.9015735999084482,A,2020-07-19
202,-0.3023907571097269,B,2020-07-20
203,0.34450336377092017,A,2020-07-21
204,-1.3624024456966426,B,2020-07-22
205,0.7305600665580924,A,2020-07-23
206,1.0950535100173187,B,2020-07-24
207,-0.577508124510793,A,2020-07-25
208,-0.6506950526192233,B,2020-07-26
209,-1.781283248186149,A,2020-07-27
210,0.1955209663656348,B,2020-07-28
211,1.2748925429412628,A,2020-07-29
212,0.5934279946588754,B,2020-07-30
213,-0.21432603208113435,A,2020-07-31
214,-0.17841181207310627,B,2020-08-01
215,-1.464292408796083,A,2020-08-02
216,1.003922545609778,B,2020-08-03
217,-1.4357653726791442,A,2020-08-04
218,-0.17612342213064985,B,2020-08-05
219,0.9892530015877895,A,2020-08-06
220,1.0886179300053749,B,2020-08-07
221,-1.4500977252877456,A,2020-08-08
222,-1.5127172016896897,B,2020-08-09
223,-1.4488179341495468,A,2020-08-10
224,0.10282082591880413,B,2020-08-11
225,-1.502340370262794,A,2020-08-12
226,-1.2080605772753206,B,2020-08-13
227,-2.259537509810997,A,2020-08-14
228,-0.23333512970789214,B,2020-08-15
229,-1.3718580164567165,A,2020-08-16
230,-0.6384260983269155,B,2020-08-17
231,-0.13648808471060173,A,2020-08-18
232,-0.07394587520142007,B,2020-08-19
233,-2.1679457796206956,A,2020-08-20
234,-0.14777076261796687,B,2020-08-21
235,1.1589766527344476,A,2020-08-22
236,0.5879787833951695,B,2020-08-23
237,-0.9817187591341554,A,2020-08-24
238,1.4614363074742451,B,2020-08-25
239,-0.9599830036569752,A,2020-08-26
240,0.8112297539475817,B,2020-08-27
241,1.698245781522507,A,2020-08-28
242,2.3380380086156274,B,2020-08-29
243,2.2902108694681407,A,2020-08-30
244,1.0037490345381241,B,2020-08-31
245,-0.0498239887624994,A,2020-09-01
246,-0.1463448652590835,B,2020-09-02
247,0.2228512114790535,A,2020-09-03
248,-1.890773861804887,B,2020-09-04
249,-1.0334221788002151,A,2020-09-05
250,-0.04146385723357767,B,2020-09-06
251,-0.5924408450919518,A,2020-09-07
252,-1.0699843794021588,B,2020-09-08
253,-0.14036506743832952,A,2020-09-09
254,-0.09001135300369036,B,2020-09-10
255,-0.32933763707738706,A,2020-09-11
256,0.6549590544852025,B,2020-09-12
257,1.3716108570451302,A,2020-09-13
258,1.7127198851820347,B,2020-09-14
259,-0.932862322824576,A,2020-09-15
260,-0.24589374075325923,B,2020-09-16
261,-0.7799354275373465,A,2020-09-17
262,-0.10527867106322072,B,2020-09-18
263,0.7084529791000961,A,2020-09-19
264,-0.5726620289945049,B,2020-09-20
265,-0.8896747023085532,A,2020-09-21
266,-0.24343618018726706,B,2020-09-22
267,0.2834995367567921,A,2020-09-23
268,-1.4247966515138901,B,2020-09-24
269,1.014754190764212,A,2020-09-25
270,-0.7355680523529393,B,2020-09-26
271,2.157564852986764,A,2020-09-27
272,-1.2474988047124766,B,2020-09-28
273,-0.12618992880127256,A,2020-09-29
274,1.1341664110602314,B,2020-09-30
275,-0.12636430905789253,A,2020-10-01
276,1.6267078988152999,B,2020-10-02
277,0.9995646041081723,A,2020-10-03
278,1.5595847144771857,B,2020-10-04
279,1.063573577359247,A,2020-10-05
280,1.3981656463745213,B,2020-10-06
281,0.007358874156265844,A,2020-10-07
282,0.9257778000447593,B,2020-10-08
283,0.430103014130781,A,2020-10-09
284,0.17753301491386786,B,2020-10-10
285,-1.3380163168682968,A,2020-10-11
286,0.6811111122858818,B,2020-10-12
287,-0.2673106053828277,A,2020-10-13
288,-0.3309810804708504,B,2020-10-14
289,-0.4981872800651536,A,2020-10-15
290,0.07574611026561474,B,2020-10-16
291,0.2056436467237653,A,2020-10-17
292,-0.596998702310691,B,2020-10-18
293,-1.208030916674837,A,2020-10-19
294,1.8442684211883071,B,2020-10-20
295,0.4058134673217336,A,2020-10-21
296,-0.6907144198947429,B,2020-10-22
297,-0.378213044531974,A,2020-10-23
298,1.5681578348036602,B,2020-10-24
299,-0.7118605443143281,A,2020-10-25
300,-0.5913191492686726,B,2020-10-26
301,1.0141246964068278,A,2020-10-27
302,0.10695745594961317,B,2020-10-28
303,0.06228315898461137,A,2020-10-29
304,-0.6542692523326352,B,2020-10-30
305,-0.04720903548654115,A,2020-10-31
306,0.639480370401562,B,2020-11-01
307,-1.4081681890790323,A,2020-11-02
308,2.14398052673427,B,2020-11-03
309,-0.3021770754749166,A,2020-11-04
310,1.7918863867668295,B,2020-11-05
311,-0.6136499822571658,A,2020-11-06
312,-1.7216797729438058,B,2020-11-07
313,-0.94550709826943935,A,2020-11-08
314,0.23698363024730654,B,2020-11-09
315,-0.3945086271331946,A,2020-11-10
316,0.19661543377827867,B,2020-11-11
317,-0.18950289970117629,A,2020-11-12
318,0.028751322716403946,B,2020-11-13
319,-0.47872498454056095,A,2020-11-14
320,-0.055147500103111514,B,2020-11-15
321,1.752160241591335,A,2020-11-16
322,-0.14323910419613042,B,2020-11-17
323,0.14609076030120632,A,2020-11-18
324,1.4515449200033423,B,2020-11-19
325,0.8627207848291412,A,2020-11-20
326,1.0853369668158697,B,2020-11-21
327,0.1484822143796988,A,2020-11-22
328,-1.781589933537211,B,2020-11-23
329,0.1989426567123937,A,2020-11-24
330,0.9539737299186515,B,2020-11-25
331,-0.5164949989776911,A,2020-11-26
332,-1.0281721455717887,B,2020-11-27
333,-0.14914239779168567,A,2020-11-28
334,1.7412523273870126,B,2020-11-29
335,-0.8052223475719222,A,2020-11-30
336,0.2749621390828978,B,2020-12-01
337,-0.2982135428251491,A,2020-12-02
338,0.44353606309464283,B,2020-12-03
339,0.9629454631395019,A,2020-12-04
340,0.37924118958451913,B,2020-12-05
341,0.7570103117951826,A,2020-12-06
342,0.08834058778667114,B,2020-12-07
343,-0.6930861041363092,A,2020-12-08
344,-1.6411619879800707,B,2020-12-09
345,0.846927707657063,A,2020-12-10
346,0.8878646498076272,B,2020-12-11
347,-0.3772605822386274,A,2020-12-12
348,-0.15168193049712933,B,2020-12-13
349,0.14227296368523124,A,2020-12-14
350,0.6554098205125397,B,2020-12-15
351,-0.6930177533082235,A,2020-12-16
352,0.7357362558072197,B,2020-12-17
353,-0.7441435436629986,A,2020-12-18
354,-1.1767127554515522,B,2020-12-19
355,-1.5560031077643501,A,2020-12-20
356,-0.5180975785274745,B,2020-12-21
357,-1.068650390875813,A,2020-12-22
358,1.3337653464226011,B,2020-12-23
359,-0.13202175914477196,A,2020-12-24
360,1.3041073149504205,B,2020-12-25
361,1.1431133237980542,A,2020-12-26
362,0.7539780129000057,B,2020-12-27
363,0.2827113265171219,A,2020-12-28
364,0.7583412208967207,B,2020-12-29
365,0.15101572905735072,A,2020-12-30
366,-1.0039182089082002,B,2020-12-31
367,-0.8137879571489812,A,2021-01-01
368,1.3147800312819629,B,2021-01-02
369,0.4342733175110858,A,2021-01-03
370,-0.9637962425487673,B,2021-01-04
371,2.0855899666627495,A,2021-01-05
372,1.5032445175726856,B,2021-01-06
373,2.2248078792095467,A,2021-01-07
374,-1.1313902070639625,B,2021-01-08
375,0.3740306182068136,A,2021-01-09
376,0.3704468315800201,B,2021-01-10
377,-0.918323926752719,A,2021-01-11
378,1.7760276919627618,B,2021-01-12
379,0.05069559740474109,A,2021-01-13
380,0.7884842906624654,B,2021-01-14
381,-1.580124255866876,A,2021-01-15
382,0.3531852620755993,B,2021-01-16
383,-0.4094460599097337,A,2021-01-17
384,-0.787867548227146,B,2021-01-18
385,1.4200956032393448,A,2021-01-19
386,1.1895240945509848,B,2021-01-20
387,-0.2664688630388869,A,2021-01-21
388,-0.7657981022456088,B,2021-01-22
389,-0.22530119651007433,A,2021-01-23
390,1.222377724891627,B,2021-01-24
391,-1.5455050752059984,A,2021-01-25
392,-0.5749946338152485,B,2021-01-26
393,0.2024933081836183,A,2021-01-27
394,-0.542147531330942,B,2021-01-28
395,-0.896912948893208,A,2021-01-29
396,-0.32183258586751473,B,2021-01-30
397,1.8418226854604076,A,2021-01-31
398,-0.2844503515595445,B,2021-02-01
399,0.21091985301462124,A,2021-02-02
400,0.8787665477146064,B,2021-02-03
401,-1.0717109318254558,A,2021-02-04
402,-1.7749970671591924,B,2021-02-05
403,-0.49901012787247717,A,2021-02-06
404,-0.683162101195542,B,2021-02-07
405,1.1463855299428014,A,2021-02-08
406,-0.5371642062097952,B,2021-02-09
407,-0.019633551262367033,A,2021-02-10
408,1.0746422901551989,B,2021-02-11
409,0.5623409763400808,A,2021-02-12
410,0.4543639569294997,B,2021-02-13
411,0.20184208563429168,A,2021-02-14
412,0.6002291702723369,B,2021-02-15
413,1.8573289218515914,A,2021-02-16
414,-0.4590681552350047,B,2021-02-17
415,-1.4328540690542675,A,2021-02-18
416,-0.6355225338598619,B,2021-02-19
417,-0.22841705618877922,A,2021-02-20
418,0.9847478283905632,B,2021-02-21
419,-0.44854118889142996,A,2021-02-22
420,1.8595555052155173,B,2021-02-23
421,-0.8183741436935764,A,2021-02-24
422,0.25044611898819963,B,2021-02-25
423,-0.5463694043567076,A,2021-02-26
424,-1.4978068590517544,B,2021-02-27
425,-0.07346913826223367,A,2021-02-28
426,0.1776657635839929,B,2021-03-01
427,-1.3894121299880022,A,2021-03-02
428,-0.9289871141427047,B,2021-03-03
429,1.1750397162500745,A,2021-03-04
430,-1.0951284483461468,B,2021-03-05
431,-1.1237183589466713,A,2021-03-06
432,0.6620696256958656,B,2021-03-07
433,-0.7901803035464542,A,2021-03-08
434,-1.649789031175705,B,2021-03-09
435,2.095346373387107,A,2021-03-10
436,0.011233454103821903,B,2021-03-11
437,0.20670894907354145,A,2021-03-12
438,-0.24839480119966514,B,2021-03-13
439,0.1704154879937137,A,2021-03-14
440,-0.2900845793727841,B,2021-03-15
441,-0.015395130155322416,A,2021-03-16
442,0.013052536282407838,B,2021-03-17
443,0.05503388690770395,A,2021-03-18
444,3.0100184098006237,B,2021-03-19
445,0.1044099821391019,A,2021-03-20
446,0.5653235935858298,B,2021-03-21
447,0.6573241504054091,A,2021-03-22
448,0.042251810302416155,B,2021-03-23
449,-0.22618448970162802,A,2021-03-24
450,-0.8472417863529698,B,2021-03-25
451,-0.013941865930083097,A,2021-03-26
452,-0.048437934010843106,B,2021-03-27
453,-0.6443401946705636,A,2021-03-28
454,-0.2610445540933051,B,2021-03-29
455,0.6425267105301474,A,2021-03-30
456,0.058700685326403386,B,2021-03-31
457,0.1758495306867193,A,2021-04-01
458,-0.6496610871471378,B,2021-04-02
459,-0.07961898063536912,A,2021-04-03
460,1.403957262968687,B,2021-04-04
461,0.554011211860899,A,2021-04-05
462,0.615880644035621,B,2021-04-06
463,0.638502601386136,A,2021-04-07
464,-0.976375092570775,B,2021-04-08
465,-0.2970489274671424,A,2021-04-09
466,-1.1268542101235512,B,2021-04-10
467,-0.4089050064802746,A,2021-04-11
468,0.09087039532327873,B,2021-04-12
469,1.2930117201119908,A,2021-04-13
470,-2.543378605620322,B,2021-04-14
471,-1.0947725585121328,A,2021-04-15
472,-0.42276375338135463,B,2021-04-16
473,0.5949127551323878,A,2021-04-17
474,0.11212400517788135,B,2021-04-18
475,0.6091171912435067,A,2021-04-19
476,-1.6626064174703066,B,2021-04-20
477,-1.9190846603464593,A,2021-04-21
478,-1.1076196333260881,B,2021-04-22
479,-0.05534026027729339,A,2021-04-23
480,-1.8161983013990999,B,2021-04-24
481,0.3740737988543873,A,2021-04-25
482,-0.7843176602778094,B,2021-04-26
483,-0.4196184317715177,A,2021-04-27
484,0.28899984497193715,B,2021-04-28
485,0.683753189380329,A,2021-04-29
486,0.5603755825429249,B,2021-04-30
487,1.5363235093406662,A,2021-05-01
488,-0.8376164526850997,B,2021-05-02
489,-1.0058041105367228,A,2021-05-03
490,0.0753115483943509,B,2021-05-04
491,0.8113097786286122,A,2021-05-05
492,0.9025705332723242,B,2021-05-06
493,0.4895806014444864,A,2021-05-07
494,0.5755045844757324,B,2021-05-08
495,-0.284037704130507,A,2021-05-09
496,0.4659551361261625,B,2021-05-10
497,-1.6985686418420296,A,2021-05-11
498,-2.1719849495972254,B,2021-05-12
499,-1.0261711976956511,A,2021-05-13
500,1.1357875127270214,B,2021-05-14
501,0.44436877585006107,A,2021-05-15
